t,A,B,C,v,exp_name
0.0,0.00982653496852648,0.06326038751581145,0.002146066223675083,0.10298644673337158,reverse
0.01256281407035176,0.009076178575726663,0.06251003112301164,0.0036467790092747166,0.03661774011544365,reverse
0.02512562814070352,0.00873691733565453,0.0621707698829395,0.004325301489418982,0.019933384581705845,reverse
0.03768844221105528,0.0085395643011914,0.06197341684847636,0.004720007558345247,0.012307124945170079,reverse
0.05025125628140704,0.008413927695692531,0.0618477802429775,0.004971280769342985,0.00806384269169432,reverse
0.0628140703517588,0.008330196512893252,0.06176404906017822,0.005138743134941541,0.0054629191912903665,reverse
0.07537688442211056,0.008272879798025932,0.0617067323453109,0.005253376564676182,0.003777633660238927,reverse
0.08793969849246232,0.008232978197894602,0.06166683074517956,0.005333179764938841,0.0026472433489662097,reverse
0.10050251256281408,0.008204890650702705,0.06163874319798767,0.0053893548593226355,0.0018717332206488525,reverse
0.11306532663316583,0.008184970227577401,0.061618822774862365,0.0054291957055732434,0.0013315349241507864,reverse
0.1256281407035176,0.008170768708185531,0.0616046212554705,0.005457598744356979,0.0009512895580612843,reverse
0.13819095477386936,0.00816060743813255,0.06159445998541751,0.005477921284462942,0.0006816721352786486,reverse
0.15075376884422112,0.008153318340683688,0.06158717088796865,0.005492499479360666,0.0004895101337100571,reverse
0.16331658291457288,0.008148080055257485,0.06158193260254245,0.00550297605021307,0.0003520513335169137,reverse
0.17587939698492464,0.008144310688262314,0.06157816323554728,0.0055105147842034125,0.0002534668809758088,reverse
0.1884422110552764,0.008141595803721384,0.061575448351006354,0.005515944553285273,0.0001826309767722648,reverse
0.20100502512562815,0.008139639099078682,0.06157349164636365,0.005519857962570678,0.0001316650238115166,reverse
0.2135678391959799,0.008138228148925439,0.0615720806962104,0.005522679862877164,9.495977285087521e-05,reverse
0.22613065326633167,0.008137210381524816,0.06157106292880979,0.005524715397678407,6.850664888255367e-05,reverse
0.23869346733668342,0.0081364760714974,0.06157032861878237,0.005526184017733241,4.943325410821696e-05,reverse
0.2512562814070352,0.008135946186045335,0.06156979873333031,0.005527243788637368,3.567609933251573e-05,reverse
0.26381909547738697,0.00813556371313342,0.0615694162604184,0.0055280087344611985,2.5749474387686265e-05,reverse
0.2763819095477387,0.008135287665929237,0.06156914021321421,0.005528560828869564,1.8586735244438284e-05,reverse
0.2889447236180905,0.008135088410547088,0.06156894095783206,0.005528959339633863,1.34174564526554e-05,reverse
0.30150753768844224,0.008134944543617986,0.06156879709090296,0.005529247073492065,9.685590057059763e-06,reverse
0.314070351758794,0.00813484072436703,0.061568693271652,0.0055294547119939755,6.99279400098846e-06,reverse
0.32663316582914576,0.008134765731651486,0.06156861827893646,0.005529604697425067,5.047809676496959e-06,reverse
0.3391959798994975,0.008134711632572136,0.06156856417985711,0.005529712895583767,3.6447818264744784e-06,reverse
0.35175879396984927,0.008134672541342005,0.06156852508862698,0.00552979107804403,2.6310084586058313e-06,reverse
0.36432160804020103,0.008134644339165418,0.06156849688645039,0.005529847482397203,1.899644716459289e-06,reverse
0.3768844221105528,0.008134623981497923,0.0615684765287829,0.005529888197732189,1.3717211328525742e-06,reverse
0.38944723618090454,0.008134609257301601,0.06156846180458658,0.005529917646124835,9.898920133941604e-07,reverse
0.4020100502512563,0.008134598665728915,0.061568451213013894,0.00552993882927021,7.152329995732094e-07,reverse
0.41457286432160806,0.008134590991406622,0.0615684435386916,0.005529954177914795,5.16225004897937e-07,reverse
0.4271356783919598,0.008134585445463124,0.0615684379927481,0.00552996526980179,3.724101260176405e-07,reverse
0.4396984924623116,0.00813458147203296,0.061568434019317934,0.00552997321666212,2.693733066379587e-07,reverse
0.45226130653266333,0.008134578584739965,0.06156843113202494,0.005529978991248109,1.945017915417175e-07,reverse
0.4648241206030151,0.00813457648423808,0.061568429031523056,0.005529983192251879,1.400329619066695e-07,reverse
0.47738693467336685,0.008134574989220244,0.06156842753650522,0.00552998618228755,1.0126519655564227e-07,reverse
0.4899497487437186,0.008134573921443195,0.06156842646872817,0.005529988317841649,7.357636897054273e-08,reverse
0.5025125628140704,0.008134573125618449,0.061568425672903423,0.005529989909491142,5.293962731643692e-08,reverse
0.5150753768844222,0.00813457254628398,0.06156842509356895,0.005529991068160083,3.791675977359424e-08,reverse
0.5276381909547739,0.008134572142539855,0.061568424689824826,0.0055299918756483305,2.744717337751871e-08,reverse
0.5402010050251257,0.008134571863709594,0.06156842441099456,0.005529992433308854,2.021676030859636e-08,reverse
0.5527638190954774,0.008134571651611197,0.06156842419889617,0.005529992857505648,1.4716787905432203e-08,reverse
0.5653266331658292,0.008134571484478544,0.06156842403176351,0.005529993191770952,1.0382833193462501e-08,reverse
0.577889447236181,0.0081345713650943,0.061568423912379266,0.005529993430539441,7.287053607638557e-09,reverse
0.5904522613065327,0.008134571288195891,0.061568423835480855,0.00552999358433626,5.2929838610813015e-09,reverse
0.6030150753768845,0.008134571242155155,0.06156842378944012,0.0055299936764177295,4.099091396927566e-09,reverse
0.6155778894472362,0.00813457120897835,0.06156842375626332,0.0055299937427713405,3.2387763495491902e-09,reverse
0.628140703517588,0.008134571172285587,0.06156842371957055,0.005529993816156869,2.287288221915908e-09,reverse
0.6407035175879398,0.00813457114043354,0.06156842368771851,0.005529993879860962,1.4613258313709776e-09,reverse
0.6532663316582915,0.008134571117992817,0.06156842366527778,0.00552999392474241,8.794105196103366e-10,reverse
0.6658291457286433,0.008134571106376803,0.06156842365366177,0.005529993947974437,5.781931359001541e-10,reverse
0.678391959798995,0.008134571104302307,0.061568423651587274,0.005529993952123429,5.243989240446309e-10,reverse
0.6909547738693468,0.008134571107789557,0.061568423655074526,0.005529993945148928,6.148275814233045e-10,reverse
0.7035175879396985,0.008134571110162204,0.06156842365744717,0.005529993940403635,6.763531952447389e-10,reverse
0.7160804020100503,0.008134571103570248,0.061568423650855214,0.0055299939535875435,5.054157811846135e-10,reverse
0.7286432160804021,0.008134571092289388,0.061568423639574356,0.005529993976149264,2.128893402969337e-10,reverse
0.7412060301507538,0.008134571081484713,0.06156842362876968,0.005529993997758613,-6.728902111295077e-11,reverse
0.7537688442211056,0.008134571074127316,0.06156842362141228,0.00552999401247341,-2.580753221040175e-10,reverse
0.7663316582914573,0.008134571071896305,0.06156842361918127,0.005529994016935431,-3.1592814813843664e-10,reverse
0.7788944723618091,0.008134571075178813,0.06156842362246378,0.005529994010370416,-2.3080873498541996e-10,reverse
0.7914572864321608,0.008134571083069989,0.06156842363035495,0.005529993994588064,-2.618093064259082e-11,reverse
0.8040201005025126,0.008134571093373004,0.06156842364065797,0.005529993973982035,2.40988786488064e-10,reverse
0.8165829145728644,0.008134571102599046,0.06156842364988401,0.005529993955529949,4.802313210833595e-10,reverse
0.8291457286432161,0.008134571105967327,0.06156842365325229,0.005529993948793388,5.675749425580966e-10,reverse
0.8417085427135679,0.008134571096775674,0.06156842364406064,0.005529993967176692,3.2922421018019475e-10,reverse
0.8542713567839196,0.008134571073569869,0.06156842362085484,0.005529994013588305,-2.7253061175812205e-10,reverse
0.8668341708542714,0.008134571045896507,0.06156842359318147,0.005529994068935029,-9.90134560013334e-10,reverse
0.8793969849246231,0.008134571021821873,0.06156842356910684,0.005529994117084297,-1.6144191113628386e-09,reverse
0.8919597989949749,0.00813457100716362,0.06156842355444859,0.005529994146400801,-1.994525422677198e-09,reverse
0.9045226130653267,0.008134571005490778,0.061568423552775746,0.005529994149746484,-2.0379042449881303e-09,reverse
0.9170854271356784,0.008134571018123747,0.06156842356540872,0.0055299941244805455,-1.7103159838438932e-09,reverse
0.9296482412060302,0.0081345710441343,0.06156842359141927,0.005529994072459439,-1.0358306985070744e-09,reverse
0.9422110552763819,0.008134571080345585,0.061568423627630556,0.005529994000036873,-9.682804278059473e-11,reverse
0.9547738693467337,0.008134571121332116,0.06156842366861708,0.00552999391806381,9.660026353873648e-10,reverse
0.9673366834170855,0.008134571159419787,0.061568423706704754,0.005529993841888467,1.953662368818672e-09,reverse
0.9798994974874372,0.008134571184685862,0.061568423731970835,0.005529993791356317,2.6088425012568263e-09,reverse
0.992462311557789,0.008134571184958979,0.06156842373224395,0.005529993790810085,2.6159247245914183e-09,reverse
1.0050251256281408,0.008134571153610073,0.06156842370089504,0.005529993853507898,1.8030093707425096e-09,reverse
1.0175879396984926,0.008134571113908109,0.06156842366119308,0.005529993932911827,7.734890438512034e-10,reverse
1.0301507537688444,0.008134571079776956,0.06156842362706192,0.005529994001174133,-1.1157330070288128e-10,reverse
1.042713567839196,0.008134571059521022,0.06156842360680599,0.005529994041685997,-6.368342941775112e-10,reverse
1.0552763819095479,0.008134571057021206,0.06156842360430617,0.00552999404668563,-7.016575795559219e-10,reverse
1.0678391959798996,0.00813457107173489,0.06156842361901985,0.0055299940172582615,-3.2011382672480896e-10,reverse
1.0804020100502514,0.00813457109869595,0.06156842364598091,0.0055299939633361465,3.7901922957899943e-10,reverse
1.0929648241206031,0.00813457112851474,0.061568423675799705,0.005529993903698561,1.1522568305244981e-09,reverse
1.105527638190955,0.008134571147378119,0.06156842369466308,0.005529993865971808,1.6414071844278743e-09,reverse
1.1180904522613067,0.008134571138313567,0.06156842368559853,0.005529993884100906,1.4063523640277713e-09,reverse
1.1306532663316584,0.008134571113648436,0.0615684236609334,0.005529993933431168,7.667554691256124e-10,reverse
1.1432160804020102,0.00813457108952297,0.06156842363680794,0.0055299939816821,1.4115276734786326e-10,reverse
1.155778894472362,0.008134571072423052,0.06156842361970802,0.005529994015881939,-3.0226896873297e-10,reverse
1.1683417085427137,0.008134571066003429,0.06156842361328839,0.005529994028721186,-4.687376168596121e-10,reverse
1.1809045226130654,0.00813457107108772,0.061568423618372684,0.005529994018552604,-3.368957698627195e-10,reverse
1.1934673366834172,0.008134571085668413,0.061568423632953374,0.005529993989391216,4.119937639923965e-11,reverse
1.206030150753769,0.008134571104906865,0.06156842365219183,0.005529993950914311,5.400758715268714e-10,reverse
1.2185929648241207,0.008134571121133301,0.06156842366841827,0.005529993918461438,9.60847142397766e-10,reverse
1.2311557788944725,0.008134571123846817,0.06156842367113178,0.005529993913034409,1.0312118754628965e-09,reverse
1.2437185929648242,0.00813457110682719,0.06156842365411215,0.005529993947073662,5.898722225355146e-10,reverse
1.256281407035176,0.008134571082223478,0.06156842362950844,0.005529993996281085,-4.8131980463448603e-11,reverse
1.2688442211055277,0.008134571059201984,0.06156842360648695,0.005529994042324073,-6.451073332641688e-10,reverse
1.2814070351758795,0.008134571044156567,0.06156842359144153,0.005529994072414905,-1.035253283999717e-09,reverse
1.2939698492462313,0.00813457104082841,0.061568423588113375,0.00552999407907122,-1.1215564582380198e-09,reverse
1.306532663316583,0.008134571050306013,0.06156842359759098,0.005529994060116014,-8.757906740260091e-10,reverse
1.3190954773869348,0.008134571071025198,0.061568423618310164,0.005529994018677644,-3.3851699539323426e-10,reverse
1.3316582914572865,0.008134571098769108,0.06156842364605407,0.005529993963189828,3.8091632593881937e-10,reverse
1.3442211055276383,0.008134571126668202,0.06156842367395317,0.005529993907391638,1.1043738384987966e-09,reverse
1.35678391959799,0.008134571145200265,0.06156842369248523,0.00552999387032751,1.5849328356908968e-09,reverse
1.3693467336683418,0.008134571142190402,0.06156842368947536,0.005529993876347237,1.5068834106278522e-09,reverse
1.3819095477386936,0.008134571109312908,0.06156842365659787,0.005529993942102226,6.543299297500531e-10,reverse
1.3944723618090453,0.008134571061566086,0.06156842360885105,0.00552999403759587,-5.838033038557186e-10,reverse
1.407035175879397,0.008134571016190079,0.06156842356347504,0.005529994128347883,-1.7604583738354122e-09,reverse
1.4195979899497488,0.008134570985644192,0.061568423532929156,0.005529994189439658,-2.5525503671583517e-09,reverse
1.4321608040201006,0.008134570977606885,0.06156842352489185,0.005529994205514273,-2.760967514467884e-09,reverse
1.4447236180904524,0.008134570994975776,0.06156842354226074,0.005529994170776489,-2.3105710419131967e-09,reverse
1.4572864321608041,0.008134571035867642,0.06156842358315261,0.0055299940889927575,-1.2501952236604286e-09,reverse
1.4698492462311559,0.008134571093618415,0.061568423640903376,0.005529993973491211,2.473526206377637e-10,reverse
1.4824120603015076,0.008134571156783186,0.06156842370406815,0.00552999384716167,1.8852920719718995e-09,reverse
1.4949748743718594,0.0081345712091362,0.06156842375642116,0.0055299937424556425,3.2428695688049e-09,reverse
1.5075376884422111,0.008134571229670862,0.06156842377695582,0.0055299937013863175,3.77535841767119e-09,reverse
1.520100502512563,0.008134571197600077,0.06156842374488504,0.005529993765527888,2.9437238336423498e-09,reverse
1.5326633165829147,0.008134571145625625,0.06156842369291059,0.005529993869476793,1.5959629008830997e-09,reverse
1.5452261306532664,0.008134571098720568,0.06156842364600553,0.005529993963286904,3.7965766807556733e-10,reverse
1.5577889447236182,0.00813457106819377,0.061568423615478735,0.005529994024340501,-4.119393757353494e-10,reverse
1.57035175879397,0.008134571059650788,0.06156842360693575,0.005529994041426466,-6.334693239552952e-10,reverse
1.5829145728643217,0.008134571072993878,0.06156842362027884,0.005529994014740285,-2.874667384192883e-10,reverse
1.5954773869346734,0.008134571102422,0.06156842364970696,0.005529993955884043,4.756402615539395e-10,reverse
1.6080402010050252,0.008134571136430806,0.06156842368371577,0.005529993887866429,1.3575300630906768e-09,reverse
1.620603015075377,0.008134571157812655,0.061568423705097616,0.005529993845102733,1.9119874563153202e-09,reverse
1.6331658291457287,0.00813457114599484,0.0615684236932798,0.005529993868738364,1.6055370934023215e-09,reverse
1.6457286432160805,0.008134571118844,0.06156842366612896,0.0055299939230400415,9.014827623929056e-10,reverse
1.6582914572864322,0.008134571093681993,0.06156842364096696,0.005529993973364056,2.4900125138238414e-10,reverse
1.670854271356784,0.008134571076716276,0.06156842362400124,0.005529994007295491,-1.9094045509974578e-10,reverse
1.6834170854271358,0.00813457107115828,0.061568423618443245,0.0055299940184114806,-3.3506602687140467e-10,reverse
1.6959798994974875,0.008134571077223419,0.06156842362450838,0.005529994006281204,-1.777896005021695e-10,reverse
1.7085427135678393,0.008134571092131077,0.06156842363941604,0.0055299939764658895,2.087841077414269e-10,reverse
1.721105527638191,0.008134571110104615,0.06156842365738958,0.005529993940518814,6.748598260222341e-10,reverse
1.7336683417085428,0.00813457112237137,0.061568423669656334,0.005529993915985304,9.929517347157379e-10,reverse
1.7462311557788945,0.008134571117566236,0.0615684236648512,0.005529993925595567,8.683488079344204e-10,reverse
1.7587939698492463,0.008134571098530134,0.0615684236458151,0.0055299939636677745,3.747194611719606e-10,reverse
1.771356783919598,0.008134571076770045,0.06156842362405501,0.00552999400718795,-1.8954610671168066e-10,reverse
1.7839195979899498,0.00813457105919222,0.061568423606477185,0.005529994042343601,-6.453605159076129e-10,reverse
1.7964824120603016,0.008134571050330998,0.06156842359761596,0.005529994060066045,-8.751427973332078e-10,reverse
1.8090452261306533,0.008134571052348813,0.06156842359963378,0.005529994056030414,-8.228183889138892e-10,reverse
1.821608040201005,0.008134571065036195,0.06156842361232116,0.005529994030655651,-4.938191401760362e-10,reverse
1.8341708542713568,0.008134571085811766,0.06156842363309673,0.0055299939891045105,4.491668657307208e-11,reverse
1.8467336683417086,0.00813457110972224,0.0615684236570072,0.005529993941283561,6.649444148103117e-10,reverse
1.8592964824120604,0.00813457112944243,0.06156842367672739,0.005529993901843182,1.1763129495833154e-09,reverse
1.8718592964824121,0.008134571135275237,0.0615684236825602,0.005529993890177566,1.3275647691396718e-09,reverse
1.8844221105527639,0.008134571116397274,0.06156842366368224,0.005529993927933494,8.380361521938085e-10,reverse
1.8969849246231156,0.008134571078097928,0.061568423625382895,0.005529994004532186,-1.551125224099351e-10,reverse
1.9095477386934674,0.008134571036416691,0.06156842358370166,0.005529994087894658,-1.2359576959466845e-09,reverse
1.9221105527638191,0.008134571003702117,0.061568423550987086,0.005529994153323807,-2.084286403888256e-09,reverse
1.934673366834171,0.008134570988241066,0.06156842353552603,0.005529994184245907,-2.4852102341474045e-09,reverse
1.9472361809045227,0.008134570994258718,0.06156842354154368,0.005529994172210607,-2.329165239179117e-09,reverse
1.9597989949748744,0.008134571021918557,0.06156842356920352,0.0055299941168909265,-1.6119119534036012e-09,reverse
1.9723618090452262,0.00813457106732239,0.061568423614607355,0.005529994026083264,-4.345353584192822e-10,reverse
1.984924623115578,0.008134571122510327,0.06156842366979529,0.005529993915707387,9.96555079347122e-10,reverse
1.9974874371859297,0.0081345711754608,0.06156842372274576,0.00552999380980644,2.3696253919578424e-09,reverse
2.0100502512562817,0.00813457121009055,0.061568423757375514,0.005529993740546943,3.2676170164251767e-09,reverse
2.022613065326633,0.008134571206254628,0.061568423753539596,0.005529993748218786,3.1681468933733766e-09,reverse
2.035175879396985,0.008134571162814136,0.0615684237100991,0.0055299938350997675,2.0416819801732973e-09,reverse
2.0477386934673367,0.00813457111519561,0.061568423662480574,0.00552999393033682,8.068755772588633e-10,reverse
2.0603015075376887,0.0081345710774402,0.061568423624725165,0.005529994005847637,-1.7216815361221645e-10,reverse
2.0728643216080402,0.008134571057957195,0.06156842360524216,0.00552999404481365,-6.773862144468582e-10,reverse
2.085427135678392,0.008134571059837142,0.06156842360712211,0.005529994041053757,-6.286369097430696e-10,reverse
2.0979899497487438,0.008134571080851857,0.061568423628136824,0.0055299939990243255,-8.369976050662597e-11,reverse
2.1105527638190957,0.008134571113454421,0.061568423660739384,0.005529993933819198,7.6172442602418e-10,reverse
2.1231155778894473,0.00813457114477918,0.061568423692064146,0.00552999387116968,1.5740135942474332e-09,reverse
2.1356783919597992,0.008134571156641743,0.06156842370392671,0.005529993847444552,1.8816243339328807e-09,reverse
2.148241206030151,0.008134571135795389,0.06156842368308035,0.005529993889137261,1.3410529451016949e-09,reverse
2.1608040201005028,0.008134571108142705,0.06156842365542767,0.005529993944442626,6.239852057878748e-10,reverse
2.1733668341708543,0.008134571084569156,0.06156842363185412,0.0055299939915897265,1.2694342922498052e-11,reverse
2.1859296482412063,0.008134571070626376,0.061568423617911344,0.005529994019475284,-3.488588793541077e-10,reverse
2.198492462311558,0.008134571068810912,0.06156842361609587,0.005529994023106214,-3.9593610922442953e-10,reverse
2.21105527638191,0.008134571078564204,0.06156842362584917,0.005529994003599628,-1.4302134975010073e-10,reverse
2.2236180904522613,0.008134571096272603,0.061568423643557565,0.005529993968182834,3.161789535093687e-10,reverse
2.2361809045226133,0.008134571115267353,0.061568423662552316,0.005529993930193331,8.087359914766283e-10,reverse
2.248743718592965,0.008134571125824611,0.06156842367310957,0.005529993909078816,1.0824985374337632e-09,reverse
2.261306532663317,0.00813457111669989,0.06156842366398486,0.005529993927328258,8.458834090002322e-10,reverse
2.2738693467336684,0.008134571095038049,0.06156842364232302,0.0055299939706519394,2.841654990482592e-10,reverse
2.2864321608040203,0.008134571071959036,0.061568423619244,0.005529994016809965,-3.143013994031682e-10,reverse
2.298994974874372,0.008134571054437269,0.06156842360172224,0.005529994051853498,-7.686621372855994e-10,reverse
2.311557788944724,0.008134571046899623,0.061568423594184594,0.005529994066928789,-9.641224560108985e-10,reverse
2.3241206030150754,0.00813457105122543,0.0615684235985104,0.0055299940582771755,-8.519490316558366e-10,reverse
2.3366834170854274,0.008134571066746478,0.06156842361403145,0.00552999402723508,-4.4946937657555e-10,reverse
2.349246231155779,0.008134571090247011,0.061568423637531976,0.005529993980234015,1.5992804152647671e-10,reverse
2.361809045226131,0.00813457111596373,0.061568423663248696,0.005529993928800574,8.267939359604082e-10,reverse
2.3743718592964824,0.008134571135585796,0.061568423682870764,0.005529993889556444,1.3356179886787218e-09,reverse
2.3869346733668344,0.008134571138254823,0.06156842368553979,0.005529993884218392,1.404829084298806e-09,reverse
2.399497487437186,0.008134571120952668,0.061568423668237636,0.005529993918822699,9.561631722436217e-10,reverse
2.412060301507538,0.008134571102245814,0.06156842364953078,0.005529993956236407,4.710716503747781e-10,reverse
2.4246231155778895,0.008134571087629864,0.06156842363491483,0.005529993985468308,9.206224624199159e-11,reverse
2.4371859296482414,0.008134571080006824,0.06156842362729179,0.0055299940007143885,-1.056124620479732e-10,reverse
2.449748743718593,0.008134571080253925,0.06156842362753889,0.005529994000220187,-9.920483096809955e-11,reverse
2.462311557788945,0.008134571087223623,0.06156842363450859,0.005529993986280792,8.152790988519229e-11,reverse
2.4748743718592965,0.008134571097743596,0.06156842364502856,0.005529993965240842,3.5432367232837946e-10,reverse
2.4874371859296485,0.008134571106616754,0.06156842365390172,0.005529993947494528,5.844154380459362e-10,reverse
2.5,0.008134571106621224,0.06156842365390619,0.0055299939474855895,5.845313343683013e-10,reverse
